country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,Cluster,Development,DBSCAN,Need_Index
Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553,2,Under-Developed,0,0.1276765159563935
Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090,1,Developing,0,-0.12853484029103932
Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460,1,Developing,0,-0.1006155509666151
Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,2,Under-Developed,-1,0.14926011013327606
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200,1,Developing,0,-0.16555617892704172
Argentina,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300,1,Developing,0,-0.1482467943685419
Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220,1,Developing,0,-0.10868491487457418
Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900,0,Developed,0,-0.31273260593117325
Austria,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900,0,Developed,0,-0.31082654207685045
Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840,1,Developing,0,-0.08550574516179653
Bahamas,13.8,35.0,7.89,43.7,22900,-0.393,73.8,1.86,28000,1,Developing,0,-0.19362593981084547
Bahrain,8.6,69.5,4.97,50.9,41100,7.44,76.0,2.16,20700,0,Developed,0,-0.22564068026664438
Bangladesh,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758,1,Developing,0,-0.031033143092116106
Barbados,14.2,39.5,7.97,48.7,15300,0.321,76.7,1.78,16000,1,Developing,0,-0.16470146881661968
Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030,1,Developing,0,-0.14611992657413259
Belgium,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400,0,Developed,-1,-0.29343756687573713
Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340,1,Developing,0,-0.09046248092441095
Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,2,Under-Developed,0,0.13341930155957024
Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180,1,Developing,0,-0.05577338360497777
Bolivia,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980,1,Developing,0,-0.033252455242981226
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610,1,Developing,0,-0.1501149881331135
Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350,2,Under-Developed,0,-0.010982452370649504
Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200,1,Developing,0,-0.1380395499479682
Brunei,10.5,67.4,2.84,28.0,80600,16.7,77.1,1.84,35300,0,Developed,-1,-0.3384249757318985
Bulgaria,10.8,50.2,6.87,53.0,15300,1.11,73.9,1.57,6840,1,Developing,0,-0.14720957970069903
Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575,2,Under-Developed,0,0.16143790963594956
Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231,2,Under-Developed,0,0.13745959880551845
Cambodia,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786,1,Developing,0,-0.017153228756942644
Cameroon,108.0,22.2,5.13,27.0,2660,1.91,57.3,5.11,1310,2,Under-Developed,0,0.1356660272595208
Canada,5.6,29.1,11.3,31.0,40700,2.87,81.3,1.63,47400,0,Developed,0,-0.30422782792628733
Cape Verde,26.5,32.7,4.09,61.8,5830,0.505,72.5,2.67,3310,1,Developing,0,-0.07701518156803995
Central African Republic,149.0,11.8,3.98,26.5,888,2.01,47.5,5.21,446,2,Under-Developed,-1,0.23133124572742197
Chad,150.0,36.8,4.53,43.5,1930,6.39,56.5,6.59,897,2,Under-Developed,0,0.22497600841083748
Chile,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900,1,Developing,0,-0.18058024456897884
China,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560,1,Developing,0,-0.12585943028798244
Colombia,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250,1,Developing,0,-0.1263041903912488
Comoros,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769,2,Under-Developed,0,0.0791698126231287
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,609,20.8,57.5,6.54,334,2,Under-Developed,-1,0.1752992636729187
"Congo, Rep.",63.9,85.1,2.46,54.7,5190,20.7,60.4,4.95,2740,2,Under-Developed,-1,0.051745276639053046
Costa Rica,10.2,33.2,10.9,35.0,13000,6.57,80.4,1.92,8200,1,Developing,0,-0.15976984993234203
Cote d'Ivoire,111.0,50.6,5.3,43.3,2690,5.39,56.3,5.27,1220,2,Under-Developed,0,0.14564147349695705
Croatia,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500,1,Developing,0,-0.18472730659023184
Cyprus,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800,0,Developed,0,-0.26096390194179436
Czech Republic,3.4,66.0,7.88,62.9,28300,-1.43,77.5,1.51,19800,0,Developed,0,-0.22048245344389353
Denmark,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000,0,Developed,0,-0.324175048110452
Dominican Republic,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450,1,Developing,0,-0.08747061888126795
Ecuador,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660,1,Developing,0,-0.1012953014197103
Egypt,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600,1,Developing,0,-0.06584275852729088
El Salvador,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990,1,Developing,0,-0.10106370641923557
Equatorial Guinea,111.0,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100,2,Under-Developed,-1,0.03844768249293156
Eritrea,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482,2,Under-Developed,0,0.041716783495092946
Estonia,4.5,75.1,6.03,68.7,22700,1.74,76.0,1.72,14600,1,Developing,0,-0.18994422558066779
Fiji,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650,1,Developing,0,-0.06292269216699685
Finland,3.0,38.7,8.95,37.4,39800,0.351,80.0,1.87,46200,0,Developed,0,-0.29629408699651244
France,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600,0,Developed,0,-0.2796411808039202
Gabon,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750,2,Under-Developed,-1,-0.0016585161398995768
Gambia,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562,2,Under-Developed,0,0.08384944600240272
Georgia,16.5,35.0,10.1,52.8,6730,8.55,72.8,1.92,2960,1,Developing,0,-0.10547873201397694
Germany,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800,0,Developed,0,-0.29521468909428983
Ghana,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310,2,Under-Developed,0,0.05847905156911755
Greece,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900,0,Developed,0,-0.2431627830311142
Grenada,14.6,23.8,5.86,49.2,11200,0.48,71.3,2.24,7370,1,Developing,0,-0.11617090627557121
Guatemala,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830,1,Developing,0,-0.05011943637234763
Guinea,109.0,30.3,4.93,43.2,1190,16.1,58.0,5.34,648,2,Under-Developed,0,0.14290147274571308
Guinea-Bissau,114.0,14.9,8.5,35.2,1390,2.97,55.6,5.05,547,2,Under-Developed,0,0.15252160251071123
Guyana,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040,1,Developing,0,-0.0399129893453409
Haiti,208.0,15.3,6.91,64.7,1500,5.45,32.1,3.33,662,2,Under-Developed,-1,0.331771371176481
Hungary,6.0,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100,1,Developing,0,-0.18706139872941804
Iceland,2.6,53.4,9.4,43.3,38800,5.47,82.0,2.2,41900,0,Developed,0,-0.28737209866930347
India,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350,1,Developing,0,-0.005708518782728704
Indonesia,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110,1,Developing,0,-0.0672315450994353
Iran,19.3,24.4,5.6,19.4,17400,15.9,74.5,1.76,6530,1,Developing,0,-0.13720186629293452
Iraq,36.9,39.4,8.41,34.1,12700,16.6,67.2,4.56,4500,2,Under-Developed,0,-0.03241304256831493
Ireland,4.2,103.0,9.19,86.5,45700,-3.22,80.4,2.05,48700,0,Developed,-1,-0.30951589963931125
Israel,4.6,35.0,7.63,32.9,29600,1.77,81.4,3.03,30600,0,Developed,0,-0.22952298858964174
Italy,4.0,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800,0,Developed,0,-0.27924153402516133
Jamaica,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680,1,Developing,0,-0.11065576197333346
Japan,3.2,15.0,9.49,13.6,35800,-1.9,82.8,1.39,44500,0,Developed,0,-0.3005725740574858
Jordan,21.1,48.3,8.04,69.0,9470,8.43,75.8,3.66,3680,1,Developing,0,-0.08707236048727697
Kazakhstan,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070,1,Developing,0,-0.11296727532424874
Kenya,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967,2,Under-Developed,0,0.041844584334850526
Kiribati,62.7,13.3,11.3,79.9,1730,1.52,60.7,3.84,1490,2,Under-Developed,-1,0.0409372198625376
Kuwait,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500,0,Developed,-1,-0.33066108400813116
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790,10.0,68.5,3.1,880,1,Developing,0,-0.043122233405108096
Lao,78.9,35.4,4.47,49.3,3980,9.2,63.8,3.15,1140,2,Under-Developed,0,0.04068959568035048
Latvia,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300,1,Developing,0,-0.16708005683182203
Lebanon,10.3,35.8,7.03,60.2,16300,0.238,79.8,1.61,8860,1,Developing,0,-0.17063046273007523
Lesotho,99.7,39.4,11.1,101.0,2380,4.15,46.5,3.3,1170,2,Under-Developed,-1,0.1277771029475158
Liberia,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327,2,Under-Developed,-1,0.10239457947218478
Libya,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100,1,Developing,-1,-0.17077912803109574
Lithuania,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000,1,Developing,0,-0.17461436291389418
Luxembourg,2.8,175.0,7.77,142.0,91700,3.62,81.3,1.63,105000,0,Developed,-1,-0.5207729755264434
"Macedonia, FYR",10.4,39.8,7.09,58.1,11400,2.04,74.0,1.47,4540,1,Developing,0,-0.1374381512788092
Madagascar,62.2,25.0,3.77,43.0,1390,8.79,60.8,4.6,413,2,Under-Developed,0,0.05463774204684557
Malawi,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459,2,Under-Developed,0,0.13058724055850546
Malaysia,7.9,86.9,4.39,71.0,21100,7.27,74.5,2.15,9070,1,Developing,0,-0.15998587672882444
Maldives,13.2,77.6,6.33,65.4,10500,2.88,77.9,2.23,7100,1,Developing,0,-0.13597777902239677
Mali,137.0,22.8,4.98,35.1,1870,4.37,59.5,6.55,708,2,Under-Developed,0,0.19696339341576974
Malta,6.8,153.0,8.65,154.0,28300,3.83,80.3,1.36,21100,0,Developed,-1,-0.22864813766253267
Mauritania,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200,2,Under-Developed,0,0.08476857024809148
Mauritius,15.0,51.2,6.0,62.2,15900,1.13,73.4,1.57,8000,1,Developing,0,-0.14301618830540536
"Micronesia, Fed. Sts.",40.0,23.5,14.2,81.0,3340,3.8,65.4,3.46,2860,1,Developing,-1,-0.017967658361864633
Moldova,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630,1,Developing,-1,-0.09733057342158379
Mongolia,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650,1,Developing,-1,-0.06195203407049474
Montenegro,6.8,37.0,9.11,62.7,14000,1.6,76.4,1.77,6680,1,Developing,0,-0.1543755512031687
Morocco,33.5,32.2,5.2,43.0,6440,0.976,73.5,2.58,2830,1,Developing,0,-0.07147903790979798
Mozambique,101.0,31.5,5.21,46.2,918,7.64,54.5,5.56,419,2,Under-Developed,0,0.1460258314184871
Myanmar,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988,1,Developing,-1,-0.0002235491449101637
Namibia,56.0,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190,2,Under-Developed,0,0.012989908647488085
Nepal,47.0,9.58,5.25,36.4,1990,15.1,68.3,2.61,592,1,Developing,0,-0.022687783062928752
Netherlands,4.5,72.0,11.9,63.6,45500,0.848,80.7,1.79,50300,0,Developed,0,-0.316718630802022
New Zealand,6.2,30.3,10.1,28.0,32300,3.73,80.9,2.17,33700,0,Developed,0,-0.2506156824428223
Niger,123.0,22.2,5.16,49.1,814,2.55,58.8,7.49,348,2,Under-Developed,0,0.19622255745578226
Nigeria,130.0,25.3,5.07,17.4,5150,104.0,60.5,5.84,2330,2,Under-Developed,-1,0.1628936695606526
Norway,3.2,39.7,9.48,28.5,62300,5.95,81.0,1.95,87800,0,Developed,-1,-0.42233184104714183
Oman,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300,1,Developing,-1,-0.21550544212763778
Pakistan,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040,2,Under-Developed,0,0.06616014869455672
Panama,19.7,70.0,8.1,78.2,15400,2.59,77.8,2.62,8080,1,Developing,0,-0.13175559233313522
Paraguay,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230,1,Developing,0,-0.08708947150298064
Peru,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020,1,Developing,0,-0.11566225168885493
Philippines,31.9,34.8,3.61,36.6,5600,4.22,69.0,3.16,2130,1,Developing,0,-0.04832956889425533
Poland,6.0,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600,1,Developing,0,-0.18790380654764943
Portugal,3.9,29.9,11.0,37.4,27200,0.643,79.8,1.39,22500,0,Developed,0,-0.2313930747745229
Qatar,9.0,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300,0,Developed,-1,-0.5001370627448294
Romania,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230,1,Developing,0,-0.15295794690014886
Russia,10.0,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700,1,Developing,0,-0.15751767321319987
Rwanda,63.6,12.0,10.5,30.0,1350,2.61,64.6,4.51,563,2,Under-Developed,-1,0.043814418214472385
Samoa,18.9,29.2,6.47,53.1,5400,1.72,71.5,4.34,3450,1,Developing,0,-0.05821924398663938
Saudi Arabia,15.7,49.6,4.29,33.0,45400,17.2,75.1,2.96,19300,1,Developing,-1,-0.20595921016993612
Senegal,66.8,24.9,5.66,40.3,2180,1.85,64.0,5.06,1000,2,Under-Developed,0,0.05643610886988403
Serbia,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410,1,Developing,0,-0.14897636527354052
Seychelles,14.4,93.8,3.4,108.0,20400,-4.21,73.4,2.17,10800,1,Developing,-1,-0.14881795996921052
Sierra Leone,160.0,16.8,13.1,34.5,1220,17.2,55.0,5.2,399,2,Under-Developed,-1,0.22447285052714833
Singapore,2.8,200.0,3.96,174.0,72100,-0.046,82.7,1.15,46600,0,Developed,-1,-0.38161068922999075
Slovak Republic,7.0,76.3,8.79,77.8,25200,0.485,75.5,1.43,16600,0,Developed,0,-0.19823005875631539
Slovenia,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400,0,Developed,0,-0.23342153243305122
Solomon Islands,28.1,49.3,8.55,81.2,1780,6.81,61.7,4.24,1290,1,Developing,0,-0.005966449424287125
South Africa,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280,2,Under-Developed,-1,-0.0046824885822390055
South Korea,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100,0,Developed,0,-0.2401799439031427
Spain,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700,0,Developed,0,-0.26437298773859474
Sri Lanka,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810,1,Developing,0,-0.11692862380061447
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920,4.44,71.6,2.07,6230,1,Developing,0,-0.10608167363747963
Sudan,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480,2,Under-Developed,0,0.0579438957577699
Suriname,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300,1,Developing,0,-0.10272526688970432
Sweden,3.0,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100,0,Developed,0,-0.3164901688921358
Switzerland,4.5,64.0,11.5,53.3,55500,0.317,82.2,1.52,74600,0,Developed,-1,-0.39190086012918524
Tajikistan,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738,1,Developing,0,-0.004971187054856725
Tanzania,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702,2,Under-Developed,0,0.084376028508796
Thailand,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080,1,Developing,0,-0.14254748979132253
Timor-Leste,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600,2,Under-Developed,-1,0.043450009477905574
Togo,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488,2,Under-Developed,0,0.10636989478548067
Tonga,17.4,12.4,5.07,60.3,4980,3.68,69.9,3.91,3550,1,Developing,0,-0.06180548133425639
Tunisia,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140,1,Developing,0,-0.12245287997651913
Turkey,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700,1,Developing,0,-0.15145555022692056
Turkmenistan,62.0,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440,1,Developing,0,-0.019449376660223696
Uganda,81.0,17.1,9.01,28.6,1540,10.6,56.8,6.15,595,2,Under-Developed,0,0.11772972866164413
Ukraine,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970,1,Developing,0,-0.11516959159901868
United Arab Emirates,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000,0,Developed,-1,-0.2921538170058537
United Kingdom,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900,0,Developed,0,-0.2720091050070777
United States,7.3,12.4,17.9,15.8,49400,1.22,78.7,1.93,48400,0,Developed,-1,-0.30871484841280405
Uruguay,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900,1,Developing,0,-0.1601309491855175
Uzbekistan,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380,1,Developing,0,-0.05008008401934387
Vanuatu,29.2,46.6,5.25,52.7,2950,2.62,63.0,3.5,2970,1,Developing,0,-0.025436418151005682
Venezuela,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500,1,Developing,-1,-0.1433757424288351
Vietnam,23.3,72.0,6.84,80.2,4490,12.1,73.1,1.95,1310,1,Developing,0,-0.08830955945385366
Yemen,56.3,30.0,5.18,34.4,4480,23.6,67.5,4.67,1310,2,Under-Developed,0,0.019379430808600794
Zambia,83.1,37.0,5.89,30.9,3280,14.0,52.0,5.4,1460,2,Under-Developed,0,0.11802015570672068
